Invoice ID,Branch,City,Customer Type,Gender,Product Line,Unit Price,Quantity,Tax 5%,Total,Date,Time,Payment,COGS,Gross Margin Percentage,Gross Income,Rating
INV-100000,A,Yangon,Member,Female,Sports and travel,286.76,2,28.68,602.2,2023-05-11,16:41,Credit card,573.52,4.76,28.68,8.7
INV-100001,A,Yangon,Member,Female,Home and lifestyle,246.49,7,86.27,1811.7,2023-08-10,20:51,Cash,1725.43,4.76,86.27,7.5
INV-100002,A,Yangon,Member,Male,Sports and travel,451.21,1,22.56,473.77,2023-01-12,19:13,Credit card,451.21,4.76,22.56,8.4
INV-100003,C,Naypyitaw,Member,Female,Electronic accessories,114.74,8,45.9,963.82,2023-09-11,19:14,Credit card,917.92,4.76,45.9,9.7
INV-100004,A,Yangon,Member,Male,Fashion accessories,211.01,9,94.95,1994.04,2023-11-25,20:55,Credit card,1899.09,4.76,94.95,4.7
INV-100005,B,Mandalay,Member,Female,Home and lifestyle,448.31,9,201.74,4236.53,2023-08-05,18:56,Credit card,4034.79,4.76,201.74,9.1
INV-100006,C,Naypyitaw,Member,Female,Sports and travel,199.71,1,9.99,209.7,2023-09-03,19:11,Credit card,199.71,4.76,9.99,7.3
INV-100007,C,Naypyitaw,Normal,Male,Electronic accessories,389.04,6,116.71,2450.95,2023-02-14,17:53,Credit card,2334.24,4.76,116.71,6.2
INV-100008,C,Naypyitaw,Normal,Male,Electronic accessories,19.64,1,0.98,20.62,2023-06-07,17:14,Cash,19.64,4.76,0.98,8.6
INV-100009,C,Naypyitaw,Normal,Female,Food and beverages,460.44,9,207.2,4351.16,2023-04-29,14:29,Credit card,4143.96,4.76,207.2,8.0
INV-100010,C,Naypyitaw,Member,Male,Sports and travel,478.77,1,23.94,502.71,2023-07-16,09:30,Credit card,478.77,4.76,23.94,7.4
INV-100011,A,Yangon,Normal,Female,Home and lifestyle,470.8,7,164.78,3460.38,2023-09-06,09:34,Ewallet,3295.6,4.76,164.78,7.7
INV-100012,C,Naypyitaw,Member,Male,Food and beverages,168.91,10,84.45,1773.55,2023-01-15,18:11,Cash,1689.1,4.76,84.45,8.8
INV-100013,B,Mandalay,Member,Female,Health and beauty,21.07,2,2.11,44.25,2023-02-12,21:48,Credit card,42.14,4.76,2.11,5.5
INV-100014,A,Yangon,Normal,Male,Electronic accessories,399.66,3,59.95,1258.93,2023-06-26,11:16,Ewallet,1198.98,4.76,59.95,9.7
INV-100015,C,Naypyitaw,Normal,Female,Sports and travel,140.09,5,35.02,735.47,2023-08-21,10:01,Credit card,700.45,4.76,35.02,6.3
INV-100016,B,Mandalay,Normal,Male,Food and beverages,399.12,5,99.78,2095.38,2023-02-25,15:52,Cash,1995.6,4.76,99.78,5.4
INV-100017,B,Mandalay,Normal,Male,Fashion accessories,77.5,3,11.62,244.12,2023-08-17,21:44,Ewallet,232.5,4.76,11.62,6.7
INV-100018,C,Naypyitaw,Normal,Female,Health and beauty,326.01,7,114.1,2396.17,2023-12-12,20:19,Cash,2282.07,4.76,114.1,9.8
INV-100019,A,Yangon,Normal,Male,Sports and travel,156.66,2,15.67,328.99,2023-06-08,18:16,Cash,313.32,4.76,15.67,4.1
INV-100020,A,Yangon,Normal,Male,Fashion accessories,297.34,4,59.47,1248.83,2023-10-19,18:32,Cash,1189.36,4.76,59.47,6.3
INV-100021,B,Mandalay,Normal,Male,Sports and travel,54.02,10,27.01,567.21,2023-12-12,10:42,Credit card,540.2,4.76,27.01,5.8
INV-100022,B,Mandalay,Normal,Male,Electronic accessories,13.51,10,6.75,141.85,2023-07-25,12:54,Credit card,135.1,4.76,6.75,8.9
INV-100023,C,Naypyitaw,Member,Female,Fashion accessories,392.44,6,117.73,2472.37,2023-08-08,10:53,Credit card,2354.64,4.76,117.73,9.6
INV-100024,B,Mandalay,Member,Male,Fashion accessories,457.65,9,205.94,4324.79,2023-09-06,09:05,Cash,4118.85,4.76,205.94,5.0
INV-100025,C,Naypyitaw,Normal,Female,Home and lifestyle,110.42,6,33.13,695.65,2023-11-04,14:07,Credit card,662.52,4.76,33.13,5.4
INV-100026,C,Naypyitaw,Member,Female,Health and beauty,390.87,8,156.35,3283.31,2023-03-11,15:04,Credit card,3126.96,4.76,156.35,9.2
INV-100027,A,Yangon,Normal,Male,Food and beverages,415.11,6,124.53,2615.19,2023-02-28,17:14,Ewallet,2490.66,4.76,124.53,4.5
INV-100028,B,Mandalay,Member,Female,Home and lifestyle,185.62,5,46.41,974.51,2023-10-16,10:50,Cash,928.1,4.76,46.41,9.0
INV-100029,A,Yangon,Normal,Male,Health and beauty,308.77,1,15.44,324.21,2023-02-16,12:15,Ewallet,308.77,4.76,15.44,6.5
INV-100030,A,Yangon,Member,Female,Sports and travel,228.2,4,45.64,958.44,2023-03-23,21:34,Credit card,912.8,4.76,45.64,7.3
INV-100031,C,Naypyitaw,Normal,Male,Health and beauty,241.12,2,24.11,506.35,2023-04-17,09:50,Credit card,482.24,4.76,24.11,8.4
INV-100032,B,Mandalay,Member,Male,Home and lifestyle,227.67,6,68.3,1434.32,2023-07-24,18:29,Cash,1366.02,4.76,68.3,5.5
INV-100033,C,Naypyitaw,Normal,Female,Home and lifestyle,390.07,9,175.53,3686.16,2023-12-19,11:34,Cash,3510.63,4.76,175.53,5.8
INV-100034,A,Yangon,Normal,Male,Fashion accessories,183.43,5,45.86,963.01,2023-02-15,18:41,Credit card,917.15,4.76,45.86,9.6
INV-100035,B,Mandalay,Member,Female,Food and beverages,483.47,1,24.17,507.64,2023-06-17,13:15,Credit card,483.47,4.76,24.17,4.6
INV-100036,C,Naypyitaw,Member,Male,Health and beauty,291.6,10,145.8,3061.8,2023-02-17,21:15,Credit card,2916.0,4.76,145.8,4.4
INV-100037,C,Naypyitaw,Member,Female,Home and lifestyle,434.44,2,43.44,912.32,2023-01-12,16:30,Cash,868.88,4.76,43.44,4.6
INV-100038,B,Mandalay,Member,Male,Home and lifestyle,43.17,3,6.48,135.99,2023-04-02,13:06,Ewallet,129.51,4.76,6.48,7.1
INV-100039,C,Naypyitaw,Member,Female,Food and beverages,150.28,4,30.06,631.18,2023-03-14,21:43,Ewallet,601.12,4.76,30.06,9.0
INV-100040,C,Naypyitaw,Normal,Female,Food and beverages,493.53,4,98.71,2072.83,2023-04-02,11:03,Ewallet,1974.12,4.76,98.71,9.2
INV-100041,A,Yangon,Normal,Female,Food and beverages,130.03,2,13.0,273.06,2023-12-16,13:34,Credit card,260.06,4.76,13.0,9.1
INV-100042,B,Mandalay,Normal,Female,Health and beauty,10.38,6,3.11,65.39,2023-03-29,21:41,Credit card,62.28,4.76,3.11,9.9
INV-100043,A,Yangon,Member,Male,Electronic accessories,35.85,6,10.76,225.86,2023-10-24,13:53,Credit card,215.1,4.76,10.76,6.4
INV-100044,B,Mandalay,Normal,Male,Electronic accessories,90.23,2,9.02,189.48,2023-04-30,17:20,Ewallet,180.46,4.76,9.02,9.4
INV-100045,B,Mandalay,Normal,Female,Fashion accessories,465.4,4,93.08,1954.68,2023-05-03,16:14,Ewallet,1861.6,4.76,93.08,6.5
INV-100046,C,Naypyitaw,Member,Male,Health and beauty,307.59,5,76.9,1614.85,2023-11-27,21:32,Ewallet,1537.95,4.76,76.9,9.3
INV-100047,A,Yangon,Normal,Female,Food and beverages,258.26,4,51.65,1084.69,2023-06-09,14:10,Ewallet,1033.04,4.76,51.65,8.2
INV-100048,B,Mandalay,Normal,Male,Electronic accessories,299.32,2,29.93,628.57,2023-11-07,13:27,Cash,598.64,4.76,29.93,9.7
INV-100049,C,Naypyitaw,Normal,Female,Sports and travel,380.09,1,19.0,399.09,2023-09-11,17:54,Cash,380.09,4.76,19.0,7.3
